IIM,TFS,TMS,TES,TGS,TPS,TNS,MSS,TDS,TEE,TPP,TII
IIM_A,179,704,569,314,422,14,2148548,103,2359162165,149,218278371
IIM_B,230,591,396,425,400,2,2000000,125,885926011,146,189091651
IIM_Cal,232,766,599,399,484,0,2000000,98,1733460113,132,163500951
IIM_Idr,399,641,645,395,511,0,1550000,51,698010577,102,181670000
IIM_Kashipur,26,291,166,151,115,0,1000000,3,265651105,25,3163660
IIM_K,197,534,546,185,347,0,1765000,63,387085247,68,139312987
IIM_L,273,672,450,495,442,0,1780000,48,1173997552,88,111735333
IIM_Raipur,109,236,252,93,136,5,1320000,33,185532345,32,2841257
IIM_Ranchi,121,230,180,171,163,2,1405000,23,223586880,9,17968309
IIM_Rohtak,22,293,289,26,155,5,1200000,32,213091188,59,16165170
IIM_Shillong,61,271,89,143,155,0,1427000,0,240998745,12,36403350
IIM_Trichy,37,250,272,15,104,3,1328000,25,205786441,18,1442033
IIM_U,75,250,188,137,131,14,1175000,1,449010235,46,10501371
E,.042,.042,.3,.042,.15,.1,.15,.042,.042,.042,.042
G,.042,.042,.042,.3,.15,.1,.15,.042,.042,.042,.042
P,.042,.042,.042,.042,.042,.042,.042,.3,.2,.15,.05
M,.042,.3,.042,.042,.15,.1,.15,.042,.042,.042,.042
F,.3,.042,.042,.042,.15,.1,.15,.042,.042,.042,.042
